altura_m,tamanho_solo_m,mesh_ni,mesh_nj,CL,CDi,CDo,CD_Total,L_D,CMz
2.8125,30,42,21,0.3184,0.0522,0.1437,0.1959,1.6253190403266975,0.0
2.8125,30,22,11,0.2902,0.0521,0.1319,0.184,1.5771739130434783,0.0
