arquivo,L_m,nx,ny,malha_eixo_x,CL,CDi,CMy
5_plano_solo_L90.0000m_malha_256x128_h1.6875_solver.csv,90.0,256,128,256,0.3662,0.0388,-0.11779999999999999
5_plano_solo_L90.0000m_malha_32x16_h1.6875_solver.csv,90.0,32,16,32,0.3712,0.0388,-0.1868
6_plano_solo_L101.2500m_malha_216x108_h1.6875_solver.csv,101.25,216,108,216,0.37440000000000007,0.0387,-0.08310000000000001
6_plano_solo_L112.5000m_malha_240x120_h1.6875_solver.csv,112.5,240,120,240,0.38049999999999995,0.03849999999999999,-0.0196
6_plano_solo_L135.0000m_malha_288x144_h1.6875_solver.csv,135.0,288,144,288,0.3964000000000001,0.0389,0.11329999999999998
6_plano_solo_L16.8750m_malha_36x18_h1.6875_solver.csv,16.875,36,18,36,0.3253,0.038900000000000004,-0.08080000000000001
6_plano_solo_L45.0000m_malha_96x48_h1.6875_solver.csv,45.0,96,48,96,0.3319,0.0386,-0.1619
6_plano_solo_L67.5000m_malha_144x72_h1.6875_solver.csv,67.5,144,72,144,0.35009999999999997,0.0386,-0.16849999999999998
6_plano_solo_L90.0000m_malha_512x256_h1.6875_solver.csv,90.0,512,256,512,0.3653,0.0389,-0.105
6_plano_solo_L90.0000m_malha_64x32_h1.6875_solver.csv,90.0,64,32,64,0.3699,0.0388,-0.1544
7_plano_solo_L101.2500m_malha_252x126_h1.6875_solver.csv,101.25,252,126,252,0.37389999999999995,0.0387,-0.0761
7_plano_solo_L112.5000m_malha_280x140_h1.6875_solver.csv,112.5,280,140,280,0.38,0.03849999999999999,-0.010299999999999995
7_plano_solo_L135.0000m_malha_336x168_h1.6875_solver.csv,135.0,336,168,336,0.39590000000000003,0.0389,0.129
7_plano_solo_L16.8750m_malha_42x21_h1.6875_solver.csv,16.875,42,21,42,0.3254,0.038900000000000004,-0.08100000000000002
7_plano_solo_L45.0000m_malha_112x56_h1.6875_solver.csv,45.0,112,56,112,0.3323,0.0386,-0.163
7_plano_solo_L67.5000m_malha_168x84_h1.6875_solver.csv,67.5,168,84,168,0.35009999999999997,0.0386,-0.16779999999999995
7_plano_solo_L90.0000m_malha_96x48_h1.6875_solver.csv,90.0,96,48,96,0.3689,0.0388,-0.14019999999999996
8_plano_solo_L101.2500m_malha_288x144_h1.6875_solver.csv,101.25,288,144,288,0.3737,0.0387,-0.07070000000000001
8_plano_solo_L112.5000m_malha_320x160_h1.6875_solver.csv,112.5,320,160,320,0.3797,0.03849999999999999,-0.0012000000000000049
8_plano_solo_L135.0000m_malha_384x192_h1.6875_solver.csv,135.0,384,192,384,0.3956,0.0389,0.1442
8_plano_solo_L16.8750m_malha_48x24_h1.6875_solver.csv,16.875,48,24,48,0.32599999999999996,0.03880000000000001,-0.0816
8_plano_solo_L45.0000m_malha_128x64_h1.6875_solver.csv,45.0,128,64,128,0.3326,0.0386,-0.164
8_plano_solo_L67.5000m_malha_192x96_h1.6875_solver.csv,67.5,192,96,192,0.35019999999999996,0.0386,-0.16699999999999998
8_plano_solo_L90.0000m_malha_128x64_h1.6875_solver.csv,90.0,128,64,128,0.368,0.0388,-0.13229999999999997
9_plano_solo_L146.2500m_malha_52x26_h1.6875_solver.csv,146.25,52,26,52,0.41719999999999996,0.040100000000000004,0.017100000000000008
9_plano_solo_L45.0000m_malha_160x80_h1.6875_solver.csv,45.0,160,80,160,0.33299999999999996,0.0386,-0.1656
9_plano_solo_L67.5000m_malha_240x120_h1.6875_solver.csv,67.5,240,120,240,0.35019999999999996,0.0387,-0.1678
